id,type,subject,year,download_url,filename
2259,特考三等-檢察事務官(偵查實務組),行政法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12835&iDP=6352&iS=30,96年_特考三等-檢察事務官(偵查實務組)_行政法.pdf
2260,特考三等-檢察事務官(偵查實務組),犯罪學,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12836&iDP=6352&iS=167,96年_特考三等-檢察事務官(偵查實務組)_犯罪學.pdf
2261,特考三等-檢察事務官(電子資訊組),計算機網路,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12843&iDP=6376&iS=170,96年_特考三等-檢察事務官(電子資訊組)_計算機網路.pdf
2262,特考三等-檢察事務官(電子資訊組),系統分析,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12844&iDP=6376&iS=169,96年_特考三等-檢察事務官(電子資訊組)_系統分析.pdf
2263,特考三等-檢察事務官(電子資訊組),資料結構,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12845&iDP=6376&iS=73,96年_特考三等-檢察事務官(電子資訊組)_資料結構.pdf
2264,特考三等-檢察事務官(電子資訊組),程式語言,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12846&iDP=6376&iS=72,96年_特考三等-檢察事務官(電子資訊組)_程式語言.pdf
2265,特考三等-檢察事務官(電子資訊組),刑法與刑事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12842&iDP=6376&iS=125,96年_特考三等-檢察事務官(電子資訊組)_刑法與刑事訴訟法.pdf
2266,特考四等-司法人員(法院書記官),民法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13036&iDP=6423&iS=12,96年_特考四等-司法人員(法院書記官)_民法概要.pdf
2267,特考四等-司法人員(法院書記官),民事訴訟法概要與刑事訴訟法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13038&iDP=6423&iS=188,96年_特考四等-司法人員(法院書記官)_民事訴訟法概要與刑事訴訟法概要.pdf
2268,特考四等-司法人員(法院書記官),刑法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13042&iDP=6423&iS=90,96年_特考四等-司法人員(法院書記官)_刑法概要.pdf
2269,特考四等-司法人員(法院書記官),法院組織法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13040&iDP=6423&iS=189,96年_特考四等-司法人員(法院書記官)_法院組織法.pdf
2270,特考四等-司法人員(法警),法院組織法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13040&iDP=6402&iS=189,96年_特考四等-司法人員(法警)_法院組織法.pdf
2271,特考四等-司法人員(法警),刑法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13042&iDP=6402&iS=90,96年_特考四等-司法人員(法警)_刑法概要.pdf
2272,特考四等-司法人員(法警),行政法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13037&iDP=6402&iS=35,96年_特考四等-司法人員(法警)_行政法概要.pdf
2273,特考四等-司法人員(法警),刑事訴訟法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13039&iDP=6402&iS=89,96年_特考四等-司法人員(法警)_刑事訴訟法概要.pdf
2274,特考四等-司法人員(執行員),行政法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13043&iDP=6414&iS=35,96年_特考四等-司法人員(執行員)_行政法概要.pdf
2275,特考四等-司法人員(執行員),民法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13036&iDP=6414&iS=12,96年_特考四等-司法人員(執行員)_民法概要.pdf
2276,特考四等-司法人員(執行員),民事訴訟法概要與刑事訴訟法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13038&iDP=6414&iS=188,96年_特考四等-司法人員(執行員)_民事訴訟法概要與刑事訴訟法概要.pdf
2277,特考四等-司法人員(執行員),強制執行法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13041&iDP=6414&iS=190,96年_特考四等-司法人員(執行員)_強制執行法概要.pdf
2278,特考四等-司法人員(執達員),刑法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=13042&iDP=6435&iS=90,96年_特考四等-司法人員(執達員)_刑法概要.pdf
